,r,vobs
0,2.27598726195,-1395.89131857
1,1.11062209462,-134.68380352
2,1.81274023787,-338.16183776
3,1.05459933425,-745.031396608
4,2.78286675216,-119.631187122
5,1.19684190346,12.1771079757
6,0.895935289828,-134.196746759
7,1.43555598283,309.495995211
8,0.933384481395,449.619899185
9,0.598479675515,750.152141091
10,2.32234699428,486.082297875
11,0.411285691345,1095.04475688
12,0.896418530897,211.462818483
13,11.7384647604,495.964355152
14,1.50809916365,255.636014421
15,1.57485220307,-757.387068737
16,1.49593565617,87.4505270834
17,3.36097394351,495.700814851
18,2.61853699345,97.4907835538
19,1.17875327549,-71.8938350018
20,0.284735630243,441.533682207
21,0.937747375872,133.098457125
22,0.4205894494,-28.0207031778
23,0.979859866131,-1.50776561122
24,2.97379322516,-137.84738379
25,1.03127360183,395.951153394
26,0.944836237558,-233.94086664
27,1.10113158571,-933.631892323
28,2.71643456253,163.176943886
29,3.88750238774,966.394087532
30,1.35756246669,903.789960352
31,2.68900081983,-142.574512165
32,9.15982282554,-612.219930756
33,1.32932760197,-385.423717105
34,3.41939921191,-225.184643525
35,3.22806579265,-274.226359228
36,3.08711499053,13.7202726815
37,1.05185900054,471.46561088
38,1.45484793682,-363.067949923
39,1.00339917334,-491.624084025
40,1.55622255698,-630.385824865
41,2.35022359611,-248.898637608
42,1.31723855028,202.611282106
43,0.676635813854,-190.956104026
44,2.75129231237,-473.286974873
45,3.11904746323,325.133120821
46,1.70752466376,-703.30875433
47,1.11333320717,76.6601620781
48,4.54849108212,-459.151588385
49,1.56231931601,526.732677546
50,1.42024049478,-380.54214268
51,12.6432147763,-403.797513975
52,2.44014287887,335.901911288
53,1.7507707002,-252.174669628
54,1.60351398137,-186.452865933
55,1.08830826557,-613.795828196
56,10.7278663906,325.641450305
57,54.0687894027,-77.7834832942
58,5.13871524389,156.804831919
59,0.282769169081,424.731125948
60,3.65211633592,-989.813133784
61,1.24011523572,413.766149282
62,1.97150622308,-392.790217992
